username,location,tweet_text,created_at,retweets,likes,language,tweet_text_english
de_ges_portal,Köln,Neue Studie zu Hilfe bei Schlafstrungen nach Krebs Zum kompletten Beitrag,2025-01-09 13:05:00+00:00,0,1,de,New study to help with sleep strains after cancer Zum komplettige Beitrag
Sihooo_DE,no_location,Sihoo Gesundheitsratgeber Richtige Sitzhaltung der Sihoo Brostuhl hlt Sie energiegeladen Lesen amp Nachdenken frdern Ihre geistige Gesundheit Einfache bungen fr Krper und Geist im Einklang,2025-01-09 12:36:57+00:00,0,0,de,Sihoo Health Guide Right sitting position of the Sihoo Brostuhl keeps you energetic Read amp Thinking to improve your mental health Simple legs for cravings and mind in harmony
wellpresso,Impressum:,In den letzten Jahren hat die globale Landschaft eine faszinierende Verschmelzung von zwei transformierenden Trends erlebt dem Aufstieg von und der anhaltenden Popularitt von,2025-01-09 12:27:26+00:00,0,0,de,"In recent years, the global landscape has experienced a fascinating fusion of two transforming trends of the rise of and the sustained popularity of"
wochenblattnews,Aulendorf,Neue Lasertherapie revolutioniert die Behandlung der Prostatavergrerung,2025-01-09 12:27:26+00:00,0,1,de,New laser therapy revolutionizes the treatment of prostate enlargement
GesinnungsKanal,no_location,Moiraley1986 Karenztag ist okay wenn zum Ausgleich jeder von seinem Einkommen unabhngig von der Quelle auch in die gesetzliche Krankenkasse einzahlt,2025-01-09 12:17:54+00:00,0,1,de,Moiraley1986 day of maternity is ok if to compensate each of his income regardless of the source also pays into the statutory health insurance
doubtfireai,Bulgarien,PushUps im Postpark Dein Boss Bitch Workout,2025-01-09 12:10:18+00:00,0,1,en,PushUps in the Postpark Your Boss Bitch Workout
KathaCMueller,Berlin,Ebolavirus kann die Haut durchdringen via WEBDENews rkide,2025-01-09 11:36:58+00:00,0,0,de,Ebolavirus can penetrate the skin via WEBDENews rkide
unkrautladen, Berlin,Unkrauttrunk zu Gast beim Kruterklatsch im Spreewald,2025-01-09 11:36:05+00:00,0,1,de,Weed drink as guest at the Kruterklatsch in the Spreewald
EUSchwerbehind1,Berlin,Krankenstnde Strukturelle Ursachen angehen statt riskanter Scheinlsungen,2025-01-09 11:31:06+00:00,0,0,de,Addressing Sick Structural Causes Instead of Riskful Sentiments
OpenDataBundDe,Köln,Gibt es Daten zur ffentlichen Gesundheit Wo finde ich Infos zu Inzidenzen und Krankenhusern Auf GovData findet ihr aktuell insgesamt 4000 in der Kategorie Schaut doch mal vorbei,2025-01-09 10:52:32+00:00,0,0,de,Is there public health data Where can I find information about incidences and health sufferers On GovData you can find a total of 4000 in the category Show by
Nordstadtblog,Dortmund,bringt digitale Lsungen fr und Einrichtungen Das Projekt DiPAS st soll Erfahrungsrume der Menschen ausdehnen,2025-01-09 10:50:03+00:00,0,0,de,brings digital solutions to and facilities The DiPAS st project aims to extend people's experience
Anarchixel,no_location,Hier ein kurzes Video zum Thema Arthrose Viel Spa beim Ansehen,2025-01-09 10:47:05+00:00,0,0,de,Here is a short video about Arthrose A lot of spa while watching
NordischePost,Germany,Tierische FitnessInspiration Wildtiere aktiv im Januar und Februar,2025-01-09 10:46:05+00:00,0,1,de,Animal FitnessInspiration Wild animals active in January and February
PaulZoeschg,no_location,War da jetzt seit Oktober jeden Morgen nach dem aufstehen drin Kostet viel innere Energie und ab und zu einen Hammer durch das Eis aber es gibt viel zurck echtes Dopamin Fokus Gesundheit,2025-01-09 10:25:12+00:00,0,1,de,Was there now since October every morning after getting up in it costs a lot of inner energy and every now and then a hammer through the ice but there is much back real dopamine focus health
NeuesAusAlzheim,Dortmund,Das fr die Whlerschaft wichtigste Themenfeld zur anstehenden Bundestagswahl Nicht UkraineKrieg nicht 1 mehr oder weniger BIP nicht Arbeitsmarkt sondern und Hier mehr dazu,2025-01-09 09:59:50+00:00,0,1,de,The most important topic for the Wahlschaft in the upcoming Bundestag election Not UkraineWar not 1 more or less GDP not labour market but and Here more
LINKE_KV_OF,no_location,Die Forderung nach einem unbezahlten ersten Krankheitstag ist eine Frechheit und Teil des Klassenkampfs von oben Wenn ihr nach unten tretet boxen wir nach oben,2025-01-09 09:35:48+00:00,3,7,de,The demand for an unpaid first day of illness is a cheekiness and part of the class struggle from above When you step down we box up
AOKNordWest,Kiel,Vor Arbeitsbeginn zwischendurch oder nach Feierabend etwas fr die eigene den Geldbeutel und die tun Nach Abschluss der landesweiten Aktion zieht die ein positives Fazit fr,2025-01-09 09:30:00+00:00,0,6,de,"Before the start of work in between or after work, something for your own budget and that do After the conclusion of the national action, a positive conclusion is drawn for"
experten_Report,München,Deutsche bleiben Vorsorgemuffel Die Deutschen nehmen Vorsorgeuntersuchungen oft nicht ernst zeigt eine reprsentative Befragung von DA Direkt Besonders Mnner und junge Menschen weisen groe,2025-01-09 09:29:13+00:00,0,3,de,German stay Precautionary Muffle Germans often do not take precautionary examinations seriously shows a representative survey of DA Direct Especially men and young people show large
peterpatti,Wasserburg,Arbeitgeber fordern sogar drei unbezahlte Krankheitstage seid ihr noch da,2025-01-09 09:11:36+00:00,0,0,de,Employers even demand three unpaid sick days you're still there
DUEREN_NEWS,Düren,Sanierung von Haus 14 der LVRKlinik Dren startet,2025-01-09 08:56:03+00:00,0,1,de,Renovation of house 14 of LVRKlinik Dren starts
IrisRoder42813,Baden-Württemberg,So erhlt man die Arbeitskraft,2025-01-09 08:46:02+00:00,2,9,de,That's how you get the labor force
Yoga_Therapie,Papenburg,Spirituelle Ursache deiner Blockaden lsen Lesen Wie du mit ChakraMeditation deine Emotionen reinigst und blockierte Lebenskraft frei setzt Lesen,2025-01-09 08:45:20+00:00,0,0,de,Spiritual Cause of your Blockages Read How to Clean Up Your Emotions with ChakraMeditation and Release Blocked Life Force Read
ilm_ulm,Ulm,Bewilligung unseres ZIMProjekts mit einem innovativen Partner Wir entwickeln ein automatisiertes System zur schnellen Analyse von Hygieneproben mittels LaserSpeckleInterferometrie fr hchste Sicherheit und Hygieneberwachung,2025-01-09 08:44:53+00:00,0,0,de,Approval of our ZIM project with an innovative partner We develop an automated system for the rapid analysis of hygiene samples using LaserSpeckleInterferometry for the highest level of safety and hygiene monitoring
PerlewitzAndrea,Schleswig-Holstein,Groartig Ich bin wieder so begeistert Auf meiner Seite findest du meine Kontaktdaten fr mehr Infos,2025-01-09 08:25:13+00:00,0,0,de,Great I'm so excited again On my page you will find my contact details for more information
AviationDirect_,no_location,Studie warnt Nchtlicher Fluglrm erhht das Risiko fr HerzKreislaufErkrankungen und Schlafstrungen in,2025-01-09 08:09:26+00:00,0,0,de,Study warns Nichtlicher Fluglm increases the risk of cardiovascular disease and sleep disorders in
inhortas,no_location,Auf gilt nach Brot als Hauptnahrung Interessant denn die Insel ist auch fr ihre vielen Hundertjhrigen bekannt Ist das Geheimnis der in den Vielleicht auch das ErdofenSpanferkel,2025-01-09 08:09:11+00:00,0,1,de,The island is also known for its many hundred-year-olds. Is the secret of the in the maybe also the ground-furnace piglet
SteffiD,Bremen,Passt zu Im TeslaWerk in Grnheide machte der Fabrikleiter im Sommer Hausbesuche bei krankgeschriebenen Mitarbeitern um mgliche Blaumacher zu entlarven SZ,2025-01-09 07:26:02+00:00,0,0,de,"Fits at the Tesla plant in Grnheide, the factory manager made house visits to sickly registered employees in the summer to expose any bluesmiths SZ"
prodidgeridoo,Luzern,Schlafposition,2025-01-09 07:20:55+00:00,0,1,de,Schlafposition
WissenWerteWand,no_location,Kritik am Krankenhausgesetz Gelder fr falsche Projekte,2025-01-09 07:05:15+00:00,0,3,de,Criticism of the hospital law funds for false projects
M4zzing4,Frankfurt,ngste loslassen Entdecke wahre Strke und Freiheit,2025-01-09 06:51:39+00:00,0,0,de,ngste let go Discover true strke and freedom
bvpraevention,Bonn,Das Projekt fr alle der Landeszentrale fr in RheinlandPfalz untersttzt amp Partnerinnen aus den dabei Menschen in schwieriger sozialer Lage mit prventiven Angeboten zu erreichen Mehr,2025-01-09 06:24:00+00:00,1,2,de,The project for all of the Landeszentrale fr in RheinlandPfalz supports amp partners from the thereby people in difficult social situation with prventive offers to reach more
kundry1983,Frankfurt,Lachen verndert alles via YouTube,2025-01-08 23:42:48+00:00,0,0,de,Laughing changes everything via YouTube
guardian_xcu,Berlin,Wohin man auch siehthrt Stress Wer Yoga Achtsamkeit und Meditation nichts abgewinnen kann sollte wenigstens ber die Ernhrung etwas ausgleichend einwirken,2025-01-08 23:21:34+00:00,0,0,de,Wherever you see stress Who can't gain anything from yoga mindfulness and meditation should at least have a balancing effect on the food
BundesXpress,no_location,TomBayou Israel wurde als Versuchslabor bezeichnet weil es mit moderner Gesundheitsinfrastruktur und digitalisierten Patientendaten schnelle Erkenntnisse ber die Wirkung der Impfstoffe gewinnen konnte ein strategischer Vorteil kein Nachteil,2025-01-08 23:11:36+00:00,1,3,de,TomBayou Israel was referred to as an experimental laboratory because with modern health infrastructure and digitized patient data it was able to gain rapid knowledge about the effect of vaccines a strategic advantage no disadvantage
Rosenblumen0,Niedersachsen,Studien zeigen dass Cannabis bei der Behandlung von chronischen Schmerzen eine effektive Alternative zu herkmmlichen Schmerzmitteln darstellt Mehr als 60 der Patienten berichten von einer signifikanten Schmerzlinderung,2025-01-08 22:46:34+00:00,8,40,de,Studies show that cannabis is an effective alternative to hearty painkillers in the treatment of chronic pain More than 60 patients report significant pain relief
zinskritik,Germany,patkaczmarczyk Das erste wo gekrzt werden sollte wren die sinnlosen Rstungsausgaben Aber unsere werten Politik krzen immer da wo es Not tut,2025-01-08 21:48:48+00:00,0,0,de,patkaczmarczyk The first place where should be crippled will be the senseless spending on pensions But our good policies always crinkle where there is need
BesserwisserK,Frankfurt,8 Januar 2025 Tag des Treppensteigens Am zweiten Mittwoch im Januar 2025 also am 8 Januar findet jedes Jahr der Tag des Treppensteigens National Take the Stairs Day statt,2025-01-08 20:00:17+00:00,0,2,de,8 January 2025 Day of stair climbing On the second Wednesday of January 2025 the day of stair climbing National Take the Stairs Day takes place every year.
Prostatiti68669,no_location,Entdecken Sie das berraschende Mittel gegen Prostatitis Natur pur und voller Energie Erleben Sie Linderung auf eine neue Art,2025-01-08 18:52:45+00:00,0,0,de,Discover the surprising remedy against prostatitis Pure nature and full of energy Experience relief in a new way
SunnyShiny4321,no_location,Aluminium in Kinderimpfungen Eltern aufgepasst Aluminium in Kinderimpfungen enthalten rzte scheinen nicht informiert zu sein Steht ein fr unsere Kinder Ganzes Video hier,2025-01-08 18:52:36+00:00,0,0,de,Aluminium in child vaccinations Parents paying attention Aluminium contained in child vaccinationsrzte seem not to be informed Stands a for our children whole video here
Prostatiti68686,no_location,Sag Tschss zu Prostatitis Entdecke unser berraschendes natrliches Mittel das wirklich wirkt Jetzt mehr erfahren,2025-01-08 18:42:35+00:00,0,0,de,Tell Tss about Prostatitis Discover our surprising natural remedy that really works Learn more now
Blasenentz60542,no_location,Blasenentzndung Nicht mit uns Hol dir schnelle Linderung und fhl dich endlich wieder wohl Jetzt mehr erfahren,2025-01-08 18:31:18+00:00,0,0,de,Do not come with us Get quick relief and finally feel good again Learn more now
Prostatiti20379,no_location,Leidest du unter Prostatitis Entdecke das berraschende Mittel das dir Linderung bringt berzeuge dich selbst,2025-01-08 18:29:28+00:00,0,0,de,Do you suffer under Prostatitis Discover the surprising remedy that brings relief to yourself
Prostatiti67117,no_location,Entdecke das berraschende Mittel gegen Prostatitis Erlebe neue Freiheit amp Lebensqualitt Lass dich berraschen,2025-01-08 18:27:13+00:00,0,0,de,Discover the surprising remedy against prostatitis Experience new freedom at life's quality Let yourself be surprised
Prostatiti18042,no_location,Leidest du unter Prostatitis Entdecke die berraschende Lsung die dein Leben verndern kann Lass dich nicht lnger einschrnken,2025-01-08 18:25:32+00:00,0,0,de,Do you suffer under Prostatitis Discover the surprising Lsung that can change your life Don't let yourself be reduced
BlauesKreuzBern,Bern,Gute Nachricht fr alle Rauchenden Bereits kurz nach dem verbessert sich die,2025-01-08 18:25:07+00:00,0,0,de,Good news for all smokers Shortly after the
Krampfader26429,no_location,Entdecken Sie das geheime Wundermittel gegen Krampfadern berraschen Sie sich selbst mit wirksamen Ergebnissen,2025-01-08 18:24:04+00:00,0,0,de,Discover the secret miracle cure against varicose veins surprise yourself with effective results
Krampfader60870,no_location,Entdecken Sie das berraschende Geheimnis gegen Krampfadern Ein effektives Mittel das Ihre Beine befreit Jetzt mehr erfahren,2025-01-08 18:13:58+00:00,0,0,de,Discover the surprising secret against varicose veins An effective means to free your legs Learn more now
Krampfader33112,no_location,Entdecken Sie das erstaunliche Geheimnis gegen Krampfadern Unser innovatives Mittel berrascht mit wirkungsvoller Hilfe Jetzt ausprobieren,2025-01-08 18:13:25+00:00,0,0,de,Discover the amazing secret against varicose veins Our innovative means surprise with effective help Try now
Blasenentz35810,no_location,Schnell Schmerzfrei bei Blasenentzndung Unser bewhrtes Mittel wirkt schnell amp effektiv Sag Nein zu Beschwerden,2025-01-08 18:01:57+00:00,0,0,de,Quick pain-free with blister suppression Our proven remedy works quickly amp effectively Say No to complaints
Prostatiti66283,no_location,Entdecke das unerwartete Wundermittel gegen Prostatitis Sag Tschss zu Beschwerden und geniee wieder das Leben,2025-01-08 17:56:36+00:00,0,0,de,Discover the unexpected miracle cure against prostatitis Say czech to complaints and enjoy life again
Prostatiti56000,no_location,Sag Prostatitis den Kampf an Entdecke unser berraschendes Mittel das wirklich wirkt Schluss mit Beschwerden,2025-01-08 17:55:28+00:00,0,0,de,Tell Prostatitis to fight Discover our surprising remedy that really works with complaints
Prostatiti89991,no_location,Entdecken Sie das revolutionre Mittel gegen Prostatitis berraschende Wirkstoffe fr Ihre Gesundheit einfach effektiv und natrlich,2025-01-08 17:51:01+00:00,0,0,de,Discover the more revolutionary remedy against prostatitis surprising active ingredients for your health simply effective and natural
Sususakura91,Kassel,Mchtest du mehr Freizeit oder einfach nur etwas dazu verdienen,2025-01-08 17:48:54+00:00,0,0,de,Do you want to earn more free time or just something for it?
Krampfader43765,no_location,Entdecke das Geheimnis gegen Krampfadern Unsere innovative Lsung wirkt schnell und effektiv berzeuge dich selbst,2025-01-08 17:40:30+00:00,0,0,de,Discover the secret against varicose veins Our innovative Lsung looks fast and effective to convince yourself
Prostatiti30053,no_location,Sagen Sie der Prostatitis den Kampf an Entdecken Sie unser berraschendes Mittel das Ihnen schnelle Linderung verschafft,2025-01-08 17:39:44+00:00,0,0,de,Tell Prostatitis the Fight Discover our surprising tool that gives you quick relief
Krampfader15188,no_location,Sag Bye zu Krampfadern Entdecke das ungewhnliche Mittel das berrascht und wirkt Erlebe gesunde Beine,2025-01-08 17:27:25+00:00,0,0,de,Say Bye to varicose veins Discover the unusual remedy that surprises and works Experience healthy legs
Ruby22Mm,no_location,Hallo,2025-01-09 12:50:33+00:00,2,37,en,Hallo
BertiEster,no_location,Lead the Way in Financial Innovation Showcase your contributions to fintech digital banking and sustainable finance at the prestigious Future Finance Awards 2025,2025-01-07 14:43:53+00:00,0,0,en,Lead the Way in Financial Innovation Showcase your contributions to fintech digital banking and sustainable finance at the prestigious Future Finance Awards 2025
Hakan61018221,no_location,AIM Congress 2025 is your opportunity to explore the future of business powered by the booming ecommerce economy,2025-01-06 12:39:08+00:00,0,0,en,AIM Congress 2025 is your opportunity to explore the future of business powered by the booming ecommerce economy
Faenos_tz,Liverpool,Madeiras serene beauty fuels my drive for a dynamic and adventurous 2025,2025-01-05 14:50:47+00:00,0,0,en,Madeiras serene beauty fuels my drive for a dynamic and adventurous 2025
T18Luis,no_location,At AIM Congress 2025 learn how realtime finance is transforming industries and unlocking new possibilities,2025-01-05 10:28:08+00:00,0,0,en,At AIM Congress 2025 learn how realtime finance is transforming industries and unlocking new possibilities
Redwind_4kj,Liverpool,Future Transformation joins AIM Congress 2025 to inspire progress and empower industries with transformative insights,2025-01-05 05:10:33+00:00,0,0,en,Future Transformation joins AIM Congress 2025 to inspire progress and empower industries with transformative insights
KEPodcast,no_location,In unserer neuen Episode geht es um das Thema und hrt doch mal rein,2025-01-04 14:54:50+00:00,0,0,de,In our new episode it's about the topic and it's just about
abigail_abiitha,no_location,Get ready for unparalleled coverage of AIM Congress 2025 thanks to our collaboration with WAM 2025,2025-01-03 08:52:32+00:00,0,0,en,Get ready for unparalleled coverage of AIM Congress 2025 thanks to our collaboration with WAM 2025
steffi2105,no_location,Ich habe soeben die Petition fr die Kampagne Bundesweites Bllerverbot jetzt unterschrieben Gehe jetzt auf falls du auch die Kampagne untersttzen willst,2025-01-07 13:39:08+00:00,0,4,de,I just signed the petition for the campaign Federal ban on bulls Now go on if you want to support the campaign
Sabeth_Pademira,Heidelberg,Man frage sich wer aus welchen Grnden diesen kostenintensiven strenden Krach Lrm und Mll braucht will thread,2025-01-07 11:19:56+00:00,0,0,de,One wonders who needs this cost-intensive strenuous noise Lrm and Mll from what source thread
gemusegurke,no_location,Natrlich kommt das System erwartungsgem mit Mehrheitlich Deutsche Alles Andere htte mich gewundert,2025-01-07 11:01:49+00:00,0,1,de,"Of course, the system is expected to come with majority German Everything Other I was surprised"
thetruthonex,no_location,BettinaJarasch Wer zuknftig sicher feiern mchte und gesund ins neue Jahr starten mchte Sollte aus Sicherheitsgrnden die whlen Nicht die sind das Problem was das Problem ist muss jeder gesunde Mensch mit gesunden Verstand selbst erkennen Die AfD ist,2025-01-06 20:54:45+00:00,0,2,de,BettinaJarasch Those who want to celebrate safely in the future and want to start the new year in a healthy way Should choose from safety grounds Not those are the problem which is the problem every healthy person with a healthy mind needs to recognize the AfD is
Migrantengewalt,no_location,ulfposh Kein hat einen oder von alleine angegriffen auch nie ein alleine So als fr grne Kleinsthirne,2025-01-06 19:38:16+00:00,0,0,de,sulfposh No one has attacked you or by himself even a single person So as a grinned brain
ClaudiagrLucian,no_location,BettinaJarasch Ach das Bllerverbot soll also Sicherheitskrfte usw schtzen Was stimmt bei euch im Kopf nicht dass ihr nicht erkennen wollt dass es nicht die und die sind sondern die Menschen Ich fordere ein Verbot des Faschismus der,2025-01-06 17:50:28+00:00,0,0,de,BettinaJarasch Ach das Bllerbanzt soll Sicherheitskrfte etc schtzen What's wrong with you in the head not that you don't want to realize that it's not the people and they're the people I demand a ban on fascism of the
Lana_Grace_18,no_location,Gute Idee,2025-01-06 16:37:25+00:00,0,7,de,Gute Idee
EmpireOfX,Argentina,ulfposh Ich bin auerdem fr ein Schwimmbder Verbot Da gehts doch wegen der gleichen Klientel genauso ab Stck fr Stck nehmen wir uns selbst die Freiheiten und realisieren es nicht mal,2025-01-06 16:17:53+00:00,3,36,de,"sulfposh I'm just for a swimmer ban Because of the same clientele, we take away the freedoms ourselves and don't even realize it."
ByEvin31,Germany,Was haben die was wir nicht haben,2025-01-06 16:09:40+00:00,0,0,de,What do they have what we don't have?
rej0hn,Dortmund,derspiegel regulation wre hilfreicher als ein verbot das gilt fr und gleichermaen,2025-01-06 14:59:28+00:00,0,2,de,the mirror regulation is more helpful than a prohibition that applies to fr and equal
_FalkoS_,Pinneberg,VasiFranco Ich finde es sehr merkwrdig dem hier die Schuld in die Schuhe zu schieben Es kann nicht sein was nicht sein darf Benennen Sie Ross amp Reiter,2025-01-06 13:35:25+00:00,0,0,de,VasiFranco I find it very merciless to blame this one in the shoes It can't be what can't be called Ross amp rider
EUSchwerbehind1,Berlin,196 Millionen Unterschriften fr Bllerverbot an Innenministerium bergeben,2025-01-06 13:31:12+00:00,0,2,de,Send 196 million signatures to Ministry of the Interior for banning bulls
marillion13,Baden-Württemberg,Ich hab auch die Petition von der Umwelthilfe bereits unterzeichnet und auf X und Quora gepostet erschrecken Haus und Wildtiere und verursachen eine Menge Aussto DasErste Bundeskanzler,2025-01-06 12:05:02+00:00,1,1,de,I have also already signed the petition from the environmental aid and posted on X and Quora terrified house and wildlife and cause a lot of excess TheFirst Chancellor
YohanYorn,Germany,Das waren bestimmt die fiesen,2025-01-06 10:58:44+00:00,0,2,de,Das waren bestimmt die fiesen
trendingsurf,no_location,01062025 Whats the Hottest movie in Germany of News amp Politics Berlin360 Check out the REAL YouTube trends here,2025-01-06 09:30:34+00:00,0,0,en,01062025 Whats the Hottest movie in Germany of News amp Politics Berlin360 Check out the REAL YouTube trends here
rdntzd,Berlin,GdPHauptstadt dpa Tagesspiegel tagesschau ZDF FunkeBerlin WELTAMSONNTAG RTLcom sat1 berlinerzeitung SZ Schade eigentlich dass wir uns immer weiter einschrnken mssen Vieles was vorher kein oder nur ein kleines Problem war geht jetzt pltzlich nicht mehr Jetzt nimmt man den Menschen ihr Schweizer Messer weg das nie fr einen Angriff verwendet worden wre,2025-01-06 08:33:03+00:00,0,0,de,"GdPHauptstadt dpa Tagesspiegel tagesschau ZDF FunkeBerlin WORLDAMSONNTAG RTLcom sat1 berlinerzeitung SZ In fact, it's a pity that we have to keep on cutting things down Much of what was not a problem or just a small problem is now suddenly no longer possible Now you take away the human being's Swiss knife that was never used for an attack"
FloQuiRei,München,Es msste jetzt landesweit Prozesse wg dieser hageln Die haben rcksichtslos Passanten Polizei amp Einsatzkrfte attackiert haben mutwillig schwere Krperverletzung amp Sachbeschdigung inkaufgenommen Keine Gnade,2025-01-06 08:30:04+00:00,0,3,de,It was necessary now nationwide trials wg these hails who have ruthlessly attacked passers-by police forces have reluctantly bought serious assaults on property No mercy
26fatih,Germany,The UAE Banks Federation and AIM Congress 2025 are joining forces to shape the future of banking and financial innovation,2025-01-06 06:22:34+00:00,0,0,en,The UAE Banks Federation and AIM Congress 2025 are joining forces to shape the future of banking and financial innovation
HerrMayer77,Germany,VasiFranco Der selbst ist nicht gefhrlich es ist der Mensch der ihn benutzt Das Messer alleine ist ja auch nicht gefhrlich Sollte man deshalb alle Messer vernichten und verbieten Dann knnten Sie sich ab sofort ihre Brtchen mit dem Lffel schmieren,2025-01-05 20:27:20+00:00,0,5,de,"VasiFranco The self is not dishonest It's the person who uses it The knife alone is not dishonest Also, should you destroy all the knives and forbid them Then you can smear your breasts with the lffel from now on"
SandySand5,Germany,Dmlicher geht immer,2025-01-05 19:49:28+00:00,0,1,de,It's always easier to walk
NameTakenAussi,no_location,VasiFranco Da knnen die nichts fr,2025-01-05 18:10:56+00:00,0,0,de,VasiFranco There can't be anything for
Madame1963,Thüringen,Ah Scholz findet also dass Tierleid Umweltverschmutzung Lrmbelstigung und Verletzungen durch Bller komisch sind Fr mich sind das schwerwiegende Argumente fr ein Verbot Aber was wei ich schon,2025-01-05 15:28:48+00:00,0,0,de,"Ah Scholz finds that animal suffering pollution is strange to me, but what I know is that there are serious arguments for a ban."
claudihada,no_location,Revolutionize your logistics with insights from Bayers Johnny Ivanyi speaking on global supply chain resilience at AIM Congress 2025 PHNIX AKUMA,2025-01-05 15:08:07+00:00,0,0,en,Revolutionize your logistics with insights from Bayers Johnny Ivanyi speaking on global supply chain resilience at AIM Congress 2025 PHNIX AKUMA
CashFloh,no_location,Angesichts von 5 Toten vielen Schwerverletzten und Schden fr die Umwelt finde ich es dass NochKanzler Scholz ein Bllerverbot komisch findet Sprech des bildungsfernen Milieus und Anbiederung,2025-01-05 13:43:59+00:00,0,0,de,"Faced with 5 dead many seriously injured and injured for the environment, I find it funny that NochKanzler Scholz finds a ban on bulging speech of the remote milieu and biasing"
daniela_biela,Gondelsheim,numerusclaudius Wenn mich mir anschaue wie viele rechte Patrioten stolz mit einer Wagenladung fr 100e oder 1000e und dummen Sprchen im Internet posiert haben wrde ich sagen das hat lngst nicht nur mit Migration zu tun sondern mit mnnlichem Ego und viel,2025-01-05 13:39:43+00:00,0,4,de,"numbererusclaudius When I look at how many right-wing patriots have proudly posed with a cartload of 100e or 1000e and stupid sprees on the Internet, I would say this is not only about migration, but also about human ego and much"
StopMeat,no_location,Tote Menschen und Tiere ausgebrannte Wohnungen durch Bller an es reicht Bitte unterzeichnet und teilt die Kampagne Bundesweites Bllerverbot jetzt und lasst uns Druck auf die Politik machen,2025-01-05 12:57:10+00:00,0,7,de,Dead people and animals burned out apartments by Bller to it enough Please sign and share the campaign Federal ban on Bller now and let's put pressure on politics
